Date,Location,Zone,TYPE,LENGTH,DIAMETER,MATERIAL,INSTYEAR,MUSYM,Dist_Rail,SLOPE,Comment,Year
1/8,347 7th Ave,315,,,6,CI,,,,,NA,2004
1/9,696 16th Ave W,315,DIST,,8,AC,,AmC,15000,,NA,2004
1/21,740 16th Ave W,315,DIST,,6,AC,,AmC,15000,,NA,2004
2/25,10132 NE 59th,285,DIST,261,8,AC,1976,KpB,7000,2.586207,Leak,2004
3/16,18th Ave & 6th St.,450,,,12,AC,,,,,Leak,2004
4/22,1201 1st St.,450,,,6,AC,,,,,NA,2004
8/16,11420 NE 90th,510,,,8,AC,,,,,Leak,2004
10/21,12000 Blk NE 73rd,650,,,6,AC,,,,,High Pressure,2004
11/10,1312 6th St.,315,,,8,DI,,,,,Bead Break,2004
1/12/05,8236 120th Ave,545,,,6,AC,,,,,Leak,2005
2/21/05,407 20th Ave NE,450,,,6,AC,,,,,Contractor,2005
6/13/05,3rd and Central,285,,,6,AC,,,,,Bead Break,2005
6/28/05,12424 NE 72nd,650,,,4,AC,,,,,Bead Break,2005
7/15/05,8100 120th Ave,545,,,6,AC,,,,,Bead Break,2005
10/4/05,NE112th & 101st,285,,,6,AC,,,,,Mis-Mark (CIP),2005
12/5/05,1823 4th St.,450,,,6,AC,,,,,Saddle,2005
1/17/06,10613 NE 109th,285,,,4,AC,,,,,Contractor,2006
2/28/06,8300 120th Ave,545,,,6,AC,,,,,Bead Break (LJ),2006
4/27/06,912 2nd St,315,,,8,AC,,,,,Leaking Joint,2006
4/27/06,425 10th Ave,314,,,8,AC,,,,,Bead Break,2006
6/1/06,132 5th Ave S,285,,,10,AC,,,,,Contractor,2006
8/9/06,7355 120th Ave,650,,,6,AC,,,,,Bead Break,2006
12/15/06,13003 NE 88th,545,,,6,AC,,,,,Tree Roots,2006
1/4/07,500 blk 2nd Ave S,285,,,4,AC,,,,,Poor bedding,2007
10/8/07,815 9th Ave,315,,,4,AC,,,,,Mill Break,2007
11/2/07,17 20th Ave,285,,,4,AC,,,,,Mill Break,2007
11/2/07,26 20th Ave,285,,,4,AC,,,,,Mill Break,2007
1/24/08,12233 NE 73rd,650,,,6,AC,,,,,Contractor,2008
1/29/08,815 9th Ave,315,,,4,AC,,,,,Bead Break,2008
2/9/08,1312 4th St,315,,,6,AC,,,,,Bead Break,2008
2/18/08,12640 NE 85th,545,,,16,Conc cyl,,,,,Leak,2008
2/26/08,19th and 5th,450,,,6,AC,,,,,Bead Break,2008
4/2/08,NE 67th & 112th,450,,,12,AC,,,,,Collar,2008
4/4/08,13020 NE 73rd,650,,,6,AC,,,,,BB – Bad Comp.,2008
4/18/08,5thAve & 2nd St,285,,,6,AC,,,,,Collar,2008
5/2/08,1208 5th PL,315,,,4,AC,,,,,BB – Bad Comp.,2008
7/29/08,13th Ave & 1st St,450,,,6,AC,,,,,Bead Break,2008
7/30/08,Lk WA HS,650,,,8,DI,,,,,Contractor,2008
9/17/08,NE119th @ 110th,450,,,4,AC,,,,,Weak spot in pipe,2008
2/20/09,101st Ave NE south of NE 110th St.,285,,,4,AC,,,,,CIP contractor – Kar Vel,2009
2/24/09,1116 Alexander Ave,450,,,6,AC,,,,,CIP contractor - Shoreline,2009
2/11/10,NE 65th and 113th Ave,545,,,6,AC,,,,,Fiber Contractor – North Sky,2010
7/22/10,15th and Market,315,,,6,AC,,,,,Bead Break,2010
1/20/11,NE 85th at 12200 block,545,,,16,concrete,,,,,leak,2011
5/6/11,300Blk of 2nd Ave S,285,,,4,AC,,,,,Old corp,2011
8/26/11,11th Ave,450,,,6,AC,,,,,crack,2011
11/14/11,6811 120th Ave N,650,,,6,AC,,,,,Top of main (6’),2011
1/27/12,20th Ave and 4th PL,450,,,8,AC,,,,,Bead Break,2012
12/20/12,11431 NE 90th,510,,,8,AC,,,,,Fatigue,2012
4/21/13,6208 113th Ave NE,545,,,6,AC,1961,,,,Bead Break,2013
11/29/13,302 5th Ave-in 3rd,285,,,6,AC,1949,,,,Repair Band,2013
2/8,400 15th Ave,450,,,8,CI,,,,,Bead Break- Old Corp Split,2014
4/5,1519 4th St,450,,,6,AC,,,,,Next to collar,2014
6/30/14,1024 3rd St,315,,,8,AC,,,,,Collar,2014
9/9/14,1519 4th St,450,,,6,AC,,,,,,2014
8/21,306 11th Pl,315,,,4,AC,,,,,Mill,2015
8/30,NE 75th/119th,650,,,6,AC,NA,,,,Tree,2015
1/13/16,NE 83rd/ 120th Ave,545,,,4,AC,NA,,,,Bead Break,2016
6/24/16,306 11th Pl,315,,,4,AC,NA,,,,Full Break,2016
11/6/16,10648 NE 47th PL,450,,,6,AC,NA,,,,Bead Break,2016
12/19/16,236 8th Ave W,315,,,4,CI,NA,,,,Bead Break,2016
07/30/17,118 11th Ave,450,,,6,AC,NA,,,,Full Break,2017
08/08/17,134 11th Ave,450,,,6,AC,NA,,,,Full Break,2017
10/31/17,10830 NE 68th St,450,,,8,AC,NA,,,,Full Break,2017
5/23/18,11828 NE 75th St,650,,,6,AC,NA,,,,Bead Break,2018
5/30/19,11828 NE 75th St,650,,,6,AC,NA,,,,Break at abandoned service tap,2019
6/3/19,10425 NE 58th St,450,,,6,AC,NA,,,,Full Break,2019
10/2/19,6109 106th Ave NE,450,,,6,AC,NA,,,,Full Break,2019